image_id,dice_score
BraTS2021_00012,tensor(84.5985)
BraTS2021_01320,tensor(96.6110)
BraTS2021_01505,tensor(81.4122)
BraTS2021_01368,tensor(95.6233)
BraTS2021_01291,tensor(86.6271)
BraTS2021_01039,tensor(88.3139)
BraTS2021_00689,tensor(97.8729)
BraTS2021_01335,tensor(95.2585)
BraTS2021_00682,tensor(95.7798)
BraTS2021_01550,tensor(80.7242)
BraTS2021_01417,tensor(89.2177)
BraTS2021_01253,tensor(88.5275)
BraTS2021_00704,tensor(98.7427)
BraTS2021_01096,tensor(84.2671)
BraTS2021_00441,tensor(84.4736)
BraTS2021_00081,tensor(79.8294)
BraTS2021_01573,tensor(86.0863)
BraTS2021_01173,tensor(91.1594)
BraTS2021_00818,tensor(96.6856)
BraTS2021_01120,tensor(97.0076)
BraTS2021_01168,tensor(87.0138)
BraTS2021_01568,tensor(64.0799)
BraTS2021_00304,tensor(93.6884)
BraTS2021_00044,tensor(89.1609)
BraTS2021_01098,tensor(81.6263)
BraTS2021_01219,tensor(63.7699)
BraTS2021_00764,tensor(90.0210)
BraTS2021_01531,tensor(82.8677)
BraTS2021_00113,tensor(70.6876)
BraTS2021_00392,tensor(88.8910)
BraTS2021_00576,tensor(65.7971)
BraTS2021_01261,tensor(90.3760)
BraTS2021_01603,tensor(85.6608)
BraTS2021_01055,tensor(96.7479)
BraTS2021_01237,tensor(82.3556)
BraTS2021_01353,tensor(96.2108)
BraTS2021_01383,tensor(95.0090)
BraTS2021_01647,tensor(58.4630)
BraTS2021_01328,tensor(94.0698)
BraTS2021_00158,tensor(88.2637)
BraTS2021_01465,tensor(93.7299)
BraTS2021_00117,tensor(81.7700)
BraTS2021_00390,tensor(61.0898)
BraTS2021_01378,tensor(97.9175)
BraTS2021_00440,tensor(95.7021)
BraTS2021_01406,tensor(96.8135)
BraTS2021_00757,tensor(90.2750)
BraTS2021_00274,tensor(89.5085)
BraTS2021_01151,tensor(69.2498)
BraTS2021_01177,tensor(90.2831)
BraTS2021_01336,tensor(94.1638)
BraTS2021_01595,tensor(97.1549)
BraTS2021_01036,tensor(76.4062)
BraTS2021_00580,tensor(95.0835)
BraTS2021_01435,tensor(85.0658)
BraTS2021_01414,tensor(92.9382)
BraTS2021_01543,tensor(89.1140)
BraTS2021_01664,tensor(87.5598)
BraTS2021_00243,tensor(63.8844)
BraTS2021_01143,tensor(88.5461)
BraTS2021_01031,tensor(53.9873)
BraTS2021_00235,tensor(97.1091)
BraTS2021_00022,tensor(94.3452)
BraTS2021_00186,tensor(82.7625)
BraTS2021_01079,tensor(97.6830)
BraTS2021_00725,tensor(83.2593)
BraTS2021_00803,tensor(81.1455)
BraTS2021_01312,tensor(95.7901)
BraTS2021_01557,tensor(90.9024)
BraTS2021_00000,tensor(96.9902)
BraTS2021_00334,tensor(94.1434)
BraTS2021_00176,tensor(96.2642)
BraTS2021_00201,tensor(97.8691)
BraTS2021_01142,tensor(90.4573)
BraTS2021_01105,tensor(97.0190)
BraTS2021_01503,tensor(75.9047)
BraTS2021_01582,tensor(90.5925)
BraTS2021_00507,tensor(94.6300)
BraTS2021_00406,tensor(96.8424)
BraTS2021_00275,tensor(75.6873)
BraTS2021_01372,tensor(85.3891)
BraTS2021_01619,tensor(95.9521)
BraTS2021_01068,tensor(93.1265)
BraTS2021_01581,tensor(96.9697)
BraTS2021_01071,tensor(90.0330)
BraTS2021_00694,tensor(80.1021)
BraTS2021_01587,tensor(96.9741)
BraTS2021_00747,tensor(96.8368)
BraTS2021_01133,tensor(91.4088)
BraTS2021_01176,tensor(92.9886)
BraTS2021_01395,tensor(59.8316)
BraTS2021_01140,tensor(90.3403)
BraTS2021_00551,tensor(92.2931)
BraTS2021_00063,tensor(88.5198)
BraTS2021_01075,tensor(57.2984)
BraTS2021_01198,tensor(91.8530)
BraTS2021_00781,tensor(96.2130)
BraTS2021_01359,tensor(92.3645)
BraTS2021_01454,tensor(78.2471)
BraTS2021_01508,tensor(81.3921)
BraTS2021_01552,tensor(97.0007)
BraTS2021_00505,tensor(95.3344)
BraTS2021_01319,tensor(94.6230)
BraTS2021_00479,tensor(96.5011)
BraTS2021_00303,tensor(94.0920)
BraTS2021_01048,tensor(94.8514)
BraTS2021_01314,tensor(83.9895)
BraTS2021_01262,tensor(90.5537)
BraTS2021_00734,tensor(93.4523)
BraTS2021_01323,tensor(91.5655)
BraTS2021_01475,tensor(95.2991)
BraTS2021_00383,tensor(95.4599)
BraTS2021_01345,tensor(94.0211)
BraTS2021_00011,tensor(65.1345)
