image_id,dice_score
BraTS2021_01477,tensor(91.6241)
BraTS2021_00561,tensor(95.7831)
BraTS2021_01611,tensor(94.5671)
BraTS2021_00545,tensor(96.9483)
BraTS2021_00668,tensor(64.5371)
BraTS2021_00291,tensor(95.4390)
BraTS2021_01379,tensor(90.2544)
BraTS2021_01603,tensor(92.8717)
BraTS2021_01424,tensor(92.9587)
BraTS2021_01550,tensor(92.2402)
BraTS2021_01545,tensor(91.3736)
BraTS2021_00514,tensor(84.6896)
BraTS2021_00380,tensor(59.2059)
BraTS2021_01159,tensor(98.2963)
BraTS2021_01039,tensor(89.4670)
BraTS2021_00608,tensor(96.6343)
BraTS2021_00120,tensor(91.4647)
BraTS2021_01138,tensor(92.3133)
BraTS2021_00054,tensor(92.5936)
BraTS2021_01427,tensor(92.0211)
BraTS2021_00077,tensor(97.1518)
BraTS2021_00615,tensor(86.8920)
BraTS2021_01483,tensor(78.1609)
BraTS2021_01064,tensor(80.5799)
BraTS2021_00518,tensor(94.3557)
BraTS2021_01358,tensor(97.7678)
BraTS2021_00470,tensor(94.1944)
BraTS2021_01455,tensor(93.7972)
BraTS2021_01024,tensor(94.1188)
BraTS2021_00828,tensor(86.7985)
BraTS2021_00297,tensor(96.2474)
BraTS2021_00621,tensor(58.3615)
BraTS2021_01400,tensor(96.5306)
BraTS2021_01151,tensor(75.6780)
BraTS2021_01589,tensor(94.6569)
BraTS2021_01246,tensor(90.0074)
BraTS2021_00259,tensor(97.9955)
BraTS2021_00532,tensor(90.5155)
BraTS2021_01449,tensor(90.7827)
BraTS2021_00072,tensor(96.1686)
BraTS2021_00166,tensor(98.2339)
BraTS2021_00251,tensor(97.6447)
BraTS2021_00602,tensor(94.4013)
BraTS2021_00707,tensor(94.2978)
BraTS2021_00520,tensor(94.9647)
BraTS2021_01561,tensor(95.6769)
BraTS2021_01027,tensor(90.5512)
BraTS2021_00624,tensor(94.8902)
BraTS2021_01368,tensor(96.1845)
BraTS2021_01499,tensor(91.2249)
BraTS2021_00724,tensor(98.0804)
BraTS2021_01270,tensor(95.6005)
BraTS2021_00128,tensor(90.7583)
BraTS2021_00572,tensor(64.0310)
BraTS2021_00757,tensor(92.9529)
BraTS2021_01530,tensor(82.3957)
BraTS2021_00320,tensor(81.2529)
BraTS2021_00123,tensor(95.2090)
BraTS2021_00019,tensor(93.8887)
BraTS2021_01531,tensor(87.6017)
BraTS2021_00597,tensor(63.4476)
BraTS2021_01298,tensor(92.2893)
BraTS2021_00134,tensor(94.7828)
BraTS2021_01238,tensor(91.5041)
BraTS2021_01445,tensor(93.5602)
BraTS2021_00266,tensor(97.4958)
BraTS2021_01347,tensor(88.8075)
